                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8322,                 5.1131,                 2.1139,                      0,                      0,                      0,                      0,                 3.1339,                 6.0004,                  2.634,                      0,                      0,                      0
                      2,                 1.7519,                 5.0161,                 2.2096,                      0,                      0,                      0,                      0,                 3.1246,                 5.9848,                 2.6399,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.6674,                 5.0469,                 2.2456,                      0,                      0,                      0,                      0,                 3.1228,                 5.9818,                 2.6458,             2.3329e-06,             2.3329e-06,             2.3329e-06
