                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62173,                0.82128,                 1.1522,                0.94614,                0.83719,                0.90306,                0.66591,                0.78963,                 1.7361,                 1.2288,              0.0006932,              0.0006932,              0.0006932
                     36,                0.69244,                 0.9439,                 1.2567,                0.84223,                0.80952,                0.90504,                 0.6838,                0.71009,                 1.6004,                  1.142,              0.0006536,              0.0006536,              0.0006536
                     37,                0.63928,                0.91143,                 1.1849,                0.90808,                0.80952,                0.91991,                0.70772,                0.82176,                 1.3871,                 1.2228,               0.000614,               0.000614,               0.000614
                     38,                 0.6005,                0.74331,                 1.1361,                0.92951,                0.80952,                0.93232,                0.71296,                0.85296,                   1.32,                 1.2442,              0.0005744,              0.0005744,              0.0005744
                     39,                 0.5961,                0.73366,                 1.1579,                0.86928,                0.95238,                0.97014,                0.69565,                0.86277,                 1.2342,                 1.2538,              0.0005348,              0.0005348,              0.0005348
                     40,                0.64259,                0.74131,                 1.1485,                  0.952,                0.94486,                0.97411,                0.72163,                0.87558,                 1.1111,                 1.3505,              0.0004952,              0.0004952,              0.0004952
                     41,                0.55675,                 1.2879,                 1.2137,                0.90357,                0.95238,                0.96879,                0.74415,                0.81678,                 1.0889,                 1.3244,              0.0004556,              0.0004556,              0.0004556
                     42,                0.44667,                 1.0987,                 1.0972,                0.98432,                0.80952,                  0.871,                0.72097,                0.81148,                 1.1581,                  1.332,               0.000416,               0.000416,               0.000416
                     43,                 0.4985,                 1.0411,                 1.0978,                      1,                0.85135,                0.87471,                0.68873,                0.83657,                  1.219,                 1.4278,              0.0003764,              0.0003764,              0.0003764
                     44,                0.44671,                0.99523,                 1.0513,                0.99449,                0.85714,                0.85719,                0.64617,                0.84254,                  1.245,                 1.4863,              0.0003368,              0.0003368,              0.0003368
                     45,                0.43018,                0.91415,                 1.0689,                0.99045,                0.85714,                0.87353,                0.65003,                 0.8633,                 1.2724,                 1.5168,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.4101,                0.89248,                 1.0718,                0.93862,                0.80952,                0.84918,                0.64198,                0.86315,                 1.2826,                 1.5005,              0.0002576,              0.0002576,              0.0002576
                     47,                0.45062,                0.91108,                 1.1571,                0.93821,                0.80952,                0.90755,                0.68044,                0.88453,                 1.2732,                 1.4745,               0.000218,               0.000218,               0.000218
                     48,                0.38836,                0.89744,                 1.0675,                      1,                0.85491,                0.95066,                  0.715,                0.75991,                 1.1827,                 1.2963,              0.0001784,              0.0001784,              0.0001784
                     49,                0.40625,                0.83283,                 1.0456,                0.90455,                0.95238,                0.95282,                 0.7513,                 0.7357,                 1.0909,                 1.2443,              0.0001388,              0.0001388,              0.0001388
                     50,                0.37559,                0.78923,                 1.0298,                0.90297,                0.95238,                0.95739,                0.76353,                 0.6996,                 1.0616,                 1.1771,               9.92e-05,               9.92e-05,               9.92e-05
